DOY,LAI,ALB
1,0,0.811945021
2,0,0.80675602
3,0,0.798377991
4,0,0.797378004
5,0,0.796378016
6,0,0.789188027
7,0,0.787998974
8,0,0.787998974
9,0,0.786998987
10,0,0.786998987
11,0,0.776620984
12,0,0.776620984
13,0,0.776620984
14,0,0.757053018
15,0,0.751864016
16,0,0.75386399
17,0,0.75386399
18,0,0.70349876
19,0,0.65313353
20,0,0.6027683
21,0,0.552403069
22,0,0.502037839
23,0,0.451672609
24,0,0.401307379
25,0,0.350942149
26,0,0.300576918
27,0,0.250211688
28,0,0.199846458
29,0,0.149481228
30,0,0.099115998
31,0,0.099115998
32,0,0.099115998
33,0,0.099115998
34,0,0.098116003
35,0,0.099115998
36,0,0.099115998
37,0,0.098116003
38,0,0.098116003
39,0,0.098116003
40,0,0.098116003
41,0,0.100737996
42,0,0.100737996
43,0,0.102738
44,0,0.103738002
45,0,0.105737999
46,0,0.107738003
47,0,0.107738003
48,0,0.108737998
49,0,0.108737998
50,0,0.105737999
51,0,0.104737997
52,0,0.106738001
53,0,0.103738002
54,0,0.103738002
55,0,0.103738002
56,0,0.103738002
57,0,0.105737999
58,0,0.105737999
59,0,0.105737999
60,0,0.105737999
61,0,0.103738002
62,0,0.101737998
63,0,0.102738
64,0,0.102738
65,0,0.102738
66,0,0.105737999
67,0,0.105737999
68,0,0.103738002
69,0,0.106738001
70,0,0.103738002
71,0,0.103549004
72,0,0.102549002
73,0,0.099926002
74,0,0.098926
75,0,0.097925998
76,0,0.096926004
77,0,0.096926004
78,0,0.097925998
79,0,0.096926004
80,0,0.096926004
81,0,0.096926004
82,0,0.094926
83,0,0.094926
84,0,0.095926002
85,0,0.095926002
86,0,0.096926004
87,0,0.096926004
88,0,0.096926004
89,0,0.096926004
90,0,0.096926004
91,0,0.098926
92,0,0.098926
93,0,0.098926
94,0,0.097925998
95,0,0.099926002
96,0,0.098926
97,0,0.098926
98,0,0.098926
99,0,0.098926
100,0,0.097925998
101,0,0.098738
102,0,0.098738
103,0,0.098738
104,0,0.099738002
105,0,0.099738002
106,0,0.099738002
107,0,0.098926
108,0,0.100925997
109,0,0.097925998
110,0,0.097925998
111,0,0.089304
112,0,0.088114999
113,0,0.088114999
114,0,0.088114999
115,0,0.087114997
116,0,0.087114997
117,0,0.083114997
118,0,0.082115002
119,0,0.082115002
120,0,0.083114997
121,0,0.086115003
122,0,0.073670998
123,0,0.081115
124,0,0.082115002
125,0,0.082115002
126,0,0.074671
127,0,0.090925999
128,0,0.091926001
129,0,0.090925999
130,0,0.091926001
131,0,0.091926001
132,0,0.091926001
133,0,0.091926001
134,0,0.091926001
135,0,0.094926
136,0,0.094926
137,0,0.094926
138,0,0.098926
139,0,0.099926002
140,0,0.099926002
141,0,0.101549
142,0,0.101549
143,0,0.101549
144,0,0.100344909
145,0,0.099140817
146,0,0.097936726
147,0.85,0.096732635
148,0.775,0.095528544
149,0.7,0.094324453
150,0.625,0.093120362
151,0.55,0.091916271
152,0.475,0.09071218
153,0.4,0.089508089
154,0.6,0.088303998
155,0.8,0.088303998
156,1,0.088303998
157,1.2,0.088303998
158,1.4,0.079492003
159,1.6,0.079492003
160,1.8,0.079492003
161,2,0.079492003
162,2.091666667,0.079492003
163,2.183333333,0.078492001
164,2.275,0.078492001
165,2.366666667,0.077491999
166,2.458333333,0.077491999
167,2.55,0.077491999
168,2.641666667,0.077491999
169,2.733333333,0.070491999
170,2.825,0.0672863
171,2.916666667,0.0640806
172,3.008333333,0.0608749
173,3.1,0.0576692
174,3.191666667,0.0544635
175,3.283333333,0.0512578
176,3.375,0.0480521
177,3.466666667,0.044846401
178,3.558333333,0.041640701
179,3.65,0.038435001
180,3.741666667,0.044057999
181,3.833333333,0.044057999
182,3.925,0.044057999
183,4.016666667,0.044057999
184,4.108333333,0.038435001
185,4.2,0.038058002
186,4.4,0.038058002
187,4.6,0.034929998
188,4.8,0.035119001
189,5,0.033606
190,5.2,0.033606
191,5.4,0.033417001
192,5.6,0.033417001
193,5.8,0.033417001
194,5.74375,0.033983
195,5.6875,0.033415999
196,5.63125,0.031415999
197,5.575,0.032793999
198,5.51875,0.032793999
199,5.4625,0.032793999
200,5.40625,0.031603999
201,5.35,0.031603999
202,5.4109375,0.031603999
203,5.471875,0.029982001
204,5.5328125,0.029180001
205,5.59375,0.028378
206,5.6546875,0.027576
207,5.715625,0.026774
208,5.7765625,0.025972
209,5.8375,0.02517
210,5.8578125,0.024548
211,5.878125,0.024548
212,5.8984375,0.024548
213,5.91875,0.024548
214,5.9390625,0.024548
215,5.959375,0.024548
216,5.9796875,0.024548
217,6,0.024548
218,6.025,0.024548
219,6.05,0.025548
220,6.075,0.025548
221,6.1,0.025548
222,6.125,0.02617
223,6.15,0.02617
224,6.175,0.02617
225,6.2,0.027170001
226,5.825,0.027982
227,5.45,0.028982
228,5.075,0.028982
229,4.7,0.028982
230,4.325,0.028982
231,3.95,0.028982
232,3.575,0.031603999
233,3.2,0.034416001
234,3.225,0.035416
235,3.25,0.03785
236,3.275,0.03785
237,3.3,0.03985
238,3.325,0.041661002
239,3.35,0.041661002
240,3.375,0.042284001
241,3.4,0.045283999
242,3.225,0.044447999
243,3.05,0.044447999
244,2.875,0.044881999
245,2.7,0.044881999
246,2.525,0.047961999
247,2.35,0.048852
248,2.175,0.064787999
249,2,0.064276002
250,1.825,0.065840997
251,1.65,0.066030003
252,1.475,0.06622
253,1.3,0.068733998
254,1.125,0.069165997
255,0.95,0.069356002
256,0.775,0.066684
257,0.6,0.068627
258,0.6,0.068737
259,0.6,0.069548003
260,0.6,0.070170999
261,0.6,0.069603004
262,0.6,0.073629998
263,0.6,0.070042998
264,0.6,0.074446
265,0.6,0.076256998
266,0.6,0.078446999
267,0.6,0.095256999
268,0.6,0.093229003
269,0.6,0.101226002
270,0.6,0.101226002
271,0.6,0.102604002
272,0.6,0.099068001
273,0.6,0.109270997
274,0.59375,0.108360998
275,0.5875,0.107170999
276,0.58125,0.107170999
277,0.575,0.104120001
278,0.56875,0.105497003
279,0.5625,0.104497001
280,0.55625,0.104497001
281,0.55,0.104497001
282,0.54375,0.105497003
283,0.5375,0.098929003
284,0.53125,0.098739997
285,0.525,0.096360996
286,0.51875,0.098739997
287,0.5125,0.098739997
288,0.50625,0.097740002
289,0.5,0.095361002
290,0.4875,0.095361002
291,0.475,0.096551001
292,0.4625,0.096551001
293,0.45,0.096551001
294,0.4375,0.096551001
295,0.425,0.090981998
296,0.4125,0.090792999
297,0.4,0.090792999
298,0.3875,0.089792997
299,0.375,0.093171999
300,0.3625,0.093171999
301,0.35,0.093171999
302,0.3375,0.086226001
303,0.325,0.087415002
304,0.3125,0.093171999
305,0.3,0.093171999
306,0.29375,0.094172001
307,0.2875,0.094172001
308,0.28125,0.096497998
309,0.275,0.095604002
310,0.26875,0.096225999
311,0.2625,0.095124997
312,0.25625,0.095124997
313,0.25,0.093636997
314,0.24375,0.094848998
315,0.2375,0.094848998
316,0.23125,0.094848
317,0.225,0.093847997
318,0.21875,0.095118999
319,0.2125,0.099381998
320,0.20625,0.099974997
321,0.2,0.094985999
322,0.2,0.092740998
323,0.2,0.093929
324,0.2,0.092928998
325,0.2,0.089740001
326,0.2,0.089740001
327,0.2,0.089740001
328,0.2,0.089740001
329,0.2,0.088551
330,0.2,0.084361002
331,0.2,0.084361002
332,0.2,0.084361002
333,0.2,0.084361002
334,0.2,0.082360998
335,0.2,0.082360998
336,0.2,0.082171999
337,0.2,0.081359997
338,0.2,0.080360003
339,0.2,0.080360003
340,0.2,0.080360003
341,0.2,0.080360003
342,0.2,0.080360003
343,0.2,0.080360003
344,0.2,0.080360003
345,0.2,0.076981999
346,0.2,0.076981999
347,0.2,0.076981999
348,0.2,0.074793003
349,0.2,0.074793003
350,0.2,0.075170003
351,0.2,0.075170003
352,0.2,0.072981
353,0.2,0.071791999
354,0.2,0.070791997
355,0.2,0.071791999
356,0.2,0.071791999
357,0.2,0.085550003
358,0.2,0.085550003
359,0.2,0.086361997
360,0.2,0.087361999
361,0.2,0.092928998
362,0.2,0.091739997
363,0.2,0.091739997
364,0.2,0.094741002
365,0.2,0.093741
