Date,DayOfYear,DaysSinceTransplanting,Val_2200,Unc_2200,ACF
20160511,132.000000,12.000000,  0.060,  0.010,  0.994
20160517,138.000000,18.000000,  0.090,  0.010,  0.973
20160525,146.000000,26.000000,  0.130,  0.020,  0.944
20160530,151.000000,31.000000,  0.350,  0.030,  0.955
20160607,159.000000,39.000000,  0.743,  0.054,  0.928
20160617,169.000000,49.000000,  3.180,  0.140,  0.925
20160623,175.000000,55.000000,  3.330,  0.180,  0.881
20160628,180.000000,60.000000,  3.100,  0.240,  0.884
20160708,190.000000,70.000000,  4.860,  0.180,  0.914
20160719,201.000000,81.000000,  5.880,  0.210,  0.908
20160801,214.000000,94.000000,  5.300,  0.140,  0.957
20160811,224.000000,104.000000,  4.980,  0.130,  0.951
20160819,232.000000,112.000000,  4.305,  0.128,  0.959
20160901,245.000000,125.000000,  4.050,  0.100,  0.969
